Volatility 3 Framework 2.28.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0xa005c5a8d050	TCPv4	0.0.0.0	7680	0.0.0.0	0	LISTENING	1812	svchost.exe	2026-02-15 12:36:04.000000 UTC
0xa005c5a8d050	TCPv6	::	7680	::	0	LISTENING	1812	svchost.exe	2026-02-15 12:36:04.000000 UTC
0xa005c5a8d470	TCPv4	0.0.0.0	49671	0.0.0.0	0	LISTENING	660	services.exe	2026-02-15 12:36:13.000000 UTC
0xa005c5a8de10	TCPv4	0.0.0.0	49668	0.0.0.0	0	LISTENING	412	spoolsv.exe	2026-02-15 12:36:03.000000 UTC
0xa005c5a8de10	TCPv6	::	49668	::	0	LISTENING	412	spoolsv.exe	2026-02-15 12:36:03.000000 UTC
0xa005c70f0730	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	368	svchost.exe	2026-02-15 12:35:57.000000 UTC
0xa005c70f0730	TCPv6	::	49666	::	0	LISTENING	368	svchost.exe	2026-02-15 12:35:57.000000 UTC
0xa005c7de5010	TCPv4	192.168.74.157	49674	98.66.133.185	443	ESTABLISHED	376	svchost.exe	2026-02-15 12:36:32.000000 UTC
0xa005c7f6b050	TCPv4	0.0.0.0	49666	0.0.0.0	0	LISTENING	368	svchost.exe	2026-02-15 12:35:57.000000 UTC
0xa005c7f6b1b0	TCPv4	0.0.0.0	49667	0.0.0.0	0	LISTENING	376	svchost.exe	2026-02-15 12:35:57.000000 UTC
0xa005c7f6b310	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	900	svchost.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6b310	TCPv6	::	135	::	0	LISTENING	900	svchost.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6b730	TCPv4	192.168.74.157	139	0.0.0.0	0	LISTENING	4	System	2026-02-15 12:35:52.000000 UTC
0xa005c7f6b890	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	684	lsass.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6b890	TCPv6	::	49664	::	0	LISTENING	684	lsass.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6bcb0	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	516	wininit.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6ca70	TCPv4	0.0.0.0	49664	0.0.0.0	0	LISTENING	684	lsass.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6cd30	TCPv4	0.0.0.0	49665	0.0.0.0	0	LISTENING	516	wininit.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6cd30	TCPv6	::	49665	::	0	LISTENING	516	wininit.exe	2026-02-15 12:35:55.000000 UTC
0xa005c7f6ce90	TCPv4	0.0.0.0	135	0.0.0.0	0	LISTENING	900	svchost.exe	2026-02-15 12:35:55.000000 UTC
0xa005c9d24830	UDPv4	192.168.74.157	138	*	0		4	System	2026-02-15 12:35:52.000000 UTC
0xa005c9d25320	UDPv4	192.168.74.157	137	*	0		4	System	2026-02-15 12:35:52.000000 UTC
