Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System	0xa005c5a7e080	127	-	N/A	False	2026-02-15 12:35:47.000000 UTC	N/A	Disabled
92	4	Registry	0xa005c5aa4080	4	-	N/A	False	2026-02-15 12:35:40.000000 UTC	N/A	Disabled
324	4	smss.exe	0xa005c7ee7040	2	-	N/A	False	2026-02-15 12:35:47.000000 UTC	N/A	Disabled
440	416	csrss.exe	0xa005c793b140	10	-	0	False	2026-02-15 12:35:51.000000 UTC	N/A	Disabled
516	416	wininit.exe	0xa005c9c81080	1	-	0	False	2026-02-15 12:35:51.000000 UTC	N/A	Disabled
524	508	csrss.exe	0xa005c9c85140	12	-	1	False	2026-02-15 12:35:51.000000 UTC	N/A	Disabled
588	508	winlogon.exe	0xa005c9cc1080	5	-	1	False	2026-02-15 12:35:52.000000 UTC	N/A	Disabled
660	516	services.exe	0xa005c9d1b080	5	-	0	False	2026-02-15 12:35:52.000000 UTC	N/A	Disabled
684	516	lsass.exe	0xa005c9d20080	8	-	0	False	2026-02-15 12:35:52.000000 UTC	N/A	Disabled
784	660	svchost.exe	0xa005c9d6f080	13	-	0	False	2026-02-15 12:35:54.000000 UTC	N/A	Disabled
792	516	fontdrvhost.ex	0xa005c9d73080	5	-	0	False	2026-02-15 12:35:54.000000 UTC	N/A	Disabled
800	588	fontdrvhost.ex	0xa005c9d72140	5	-	1	False	2026-02-15 12:35:54.000000 UTC	N/A	Disabled
900	660	svchost.exe	0xa005c9db6300	8	-	0	False	2026-02-15 12:35:55.000000 UTC	N/A	Disabled
1016	588	dwm.exe	0xa005ca4a2080	14	-	1	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
368	660	svchost.exe	0xa005ca4a92c0	14	-	0	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
376	660	svchost.exe	0xa005ca4aa080	50	-	0	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
756	660	svchost.exe	0xa005ca4d52c0	16	-	0	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
1068	660	svchost.exe	0xa005ca569080	2	-	0	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
1132	660	svchost.exe	0xa005ca4a1080	15	-	0	False	2026-02-15 12:35:56.000000 UTC	N/A	Disabled
1168	660	svchost.exe	0xa005ca5b82c0	19	-	0	False	2026-02-15 12:35:57.000000 UTC	N/A	Disabled
1392	4	MemCompression	0xa005ca674040	54	-	N/A	False	2026-02-15 12:35:58.000000 UTC	N/A	Disabled
1468	660	svchost.exe	0xa005c9c2f080	18	-	0	False	2026-02-15 12:35:58.000000 UTC	N/A	Disabled
1628	660	svchost.exe	0xa005ca7782c0	8	-	0	False	2026-02-15 12:36:00.000000 UTC	N/A	Disabled
1748	660	svchost.exe	0xa005c5b5e080	6	-	0	False	2026-02-15 12:36:01.000000 UTC	N/A	Disabled
1772	660	svchost.exe	0xa005c5b18080	3	-	0	False	2026-02-15 12:36:01.000000 UTC	N/A	Disabled
1796	660	svchost.exe	0xa005c5b11080	4	-	0	False	2026-02-15 12:36:01.000000 UTC	N/A	Disabled
1812	660	svchost.exe	0xa005c5aeb080	8	-	0	False	2026-02-15 12:36:01.000000 UTC	N/A	Disabled
1848	660	svchost.exe	0xa005c5ae9080	12	-	0	False	2026-02-15 12:36:02.000000 UTC	N/A	Disabled
1936	660	svchost.exe	0xa005ca8a52c0	5	-	0	False	2026-02-15 12:36:02.000000 UTC	N/A	Disabled
412	660	spoolsv.exe	0xa005ca965200	7	-	0	False	2026-02-15 12:36:03.000000 UTC	N/A	Disabled
2324	784	WmiPrvSE.exe	0xa005caac1280	10	-	0	False	2026-02-15 12:36:05.000000 UTC	N/A	Disabled
2448	660	svchost.exe	0xa005cab32240	9	-	0	False	2026-02-15 12:36:05.000000 UTC	N/A	Disabled
2532	660	svchost.exe	0xa005caafb280	3	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2604	660	VGAuthService.	0xa005cab5a080	2	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2616	660	vm3dservice.ex	0xa005cab5c080	3	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2632	660	vmtoolsd.exe	0xa005cab62080	12	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2640	660	MpDefenderCore	0xa005cab52300	10	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2668	660	MsMpEng.exe	0xa005cab64340	9	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2720	660	Sysmon64.exe	0xa005cab68200	22	-	0	False	2026-02-15 12:36:06.000000 UTC	N/A	Disabled
2860	2616	vm3dservice.ex	0xa005cac72280	4	-	1	False	2026-02-15 12:36:07.000000 UTC	N/A	Disabled
2208	784	unsecapp.exe	0xa005cade1280	3	-	0	False	2026-02-15 12:36:08.000000 UTC	N/A	Disabled
3328	660	dllhost.exe	0xa005caeea280	10	-	0	False	2026-02-15 12:36:10.000000 UTC	N/A	Disabled
3732	784	dllhost.exe	0xa005cb0602c0	4	-	0	False	2026-02-15 12:36:13.000000 UTC	N/A	Disabled
3256	660	msdtc.exe	0xa005cb12e2c0	9	-	0	False	2026-02-15 12:36:17.000000 UTC	N/A	Disabled
2788	660	SearchIndexer.	0xa005cb27a080	17	-	0	False	2026-02-15 12:36:19.000000 UTC	N/A	Disabled
4524	376	sihost.exe	0xa005cb3c1080	9	-	1	False	2026-02-15 12:36:25.000000 UTC	N/A	Disabled
4548	660	svchost.exe	0xa005cacf1080	11	-	1	False	2026-02-15 12:36:25.000000 UTC	N/A	Disabled
4624	376	taskhostw.exe	0xa005ca695080	0	-	1	False	2026-02-15 12:36:26.000000 UTC	2026-02-15 12:36:28.000000 UTC	Disabled
4676	376	taskhostw.exe	0xa005cb62c080	8	-	1	False	2026-02-15 12:36:26.000000 UTC	N/A	Disabled
4920	2448	AggregatorHost	0xa005cb62a080	3	-	0	False	2026-02-15 12:36:27.000000 UTC	N/A	Disabled
4188	588	userinit.exe	0xa005ca692080	0	-	1	False	2026-02-15 12:36:29.000000 UTC	2026-02-15 12:37:12.000000 UTC	Disabled
3020	4188	explorer.exe	0xa005cb3bd200	83	-	1	False	2026-02-15 12:36:29.000000 UTC	N/A	Disabled
4276	660	svchost.exe	0xa005cb744080	5	-	0	False	2026-02-15 12:36:31.000000 UTC	N/A	Disabled
2584	660	svchost.exe	0xa005cb847080	11	-	1	False	2026-02-15 12:36:36.000000 UTC	N/A	Disabled
5720	784	StartMenuExper	0xa005cb127080	8	-	1	False	2026-02-15 12:36:41.000000 UTC	N/A	Disabled
6088	784	RuntimeBroker.	0xa005cbaae080	1	-	1	False	2026-02-15 12:36:42.000000 UTC	N/A	Disabled
6148	784	SearchApp.exe	0xa005cbdc3080	49	-	1	False	2026-02-15 12:36:45.000000 UTC	N/A	Disabled
6252	784	RuntimeBroker.	0xa005cbe9e080	9	-	1	False	2026-02-15 12:36:46.000000 UTC	N/A	Disabled
6460	784	ShellExperienc	0xa005cb8c5080	17	-	1	False	2026-02-15 12:36:48.000000 UTC	N/A	Disabled
6788	756	ctfmon.exe	0xa005cb8d6080	8	-	1	False	2026-02-15 12:36:53.000000 UTC	N/A	Disabled
6812	756	TabTip.exe	0xa005cbdbe080	7	-	1	False	2026-02-15 12:36:54.000000 UTC	N/A	Disabled
6988	784	RuntimeBroker.	0xa005cbabd080	3	-	1	False	2026-02-15 12:36:55.000000 UTC	N/A	Disabled
5304	3020	SecurityHealth	0xa005cc0020c0	1	-	1	False	2026-02-15 12:37:05.000000 UTC	N/A	Disabled
5476	660	SecurityHealth	0xa005cc2de080	12	-	0	False	2026-02-15 12:37:05.000000 UTC	N/A	Disabled
2868	3020	vmtoolsd.exe	0xa005cb86f080	10	-	1	False	2026-02-15 12:37:06.000000 UTC	N/A	Disabled
5548	3020	msedge.exe	0xa005cbac6080	0	-	1	False	2026-02-15 12:37:09.000000 UTC	2026-02-15 12:37:28.000000 UTC	Disabled
5204	3020	OneDrive.exe	0xa005cc4e6080	22	-	1	False	2026-02-15 12:37:11.000000 UTC	N/A	Disabled
2268	5204	OneDrive.Sync.	0xa005ca5bf080	0	-	1	False	2026-02-15 12:37:22.000000 UTC	2026-02-15 12:42:00.000000 UTC	Disabled
3108	5548	msedge.exe	0xa005cc040080	52	-	1	False	2026-02-15 12:37:25.000000 UTC	N/A	Disabled
7108	3108	msedge.exe	0xa005cc6ae080	7	-	1	False	2026-02-15 12:37:28.000000 UTC	N/A	Disabled
4652	3108	msedge.exe	0xa005cc6ad080	17	-	1	False	2026-02-15 12:37:29.000000 UTC	N/A	Disabled
6632	3108	msedge.exe	0xa005cc03e080	12	-	1	False	2026-02-15 12:37:29.000000 UTC	N/A	Disabled
2180	3108	msedge.exe	0xa005cc3a2080	10	-	1	False	2026-02-15 12:37:30.000000 UTC	N/A	Disabled
5848	784	TextInputHost.	0xa005cb3be080	10	-	1	False	2026-02-15 12:37:53.000000 UTC	N/A	Disabled
3076	784	ApplicationFra	0xa005cb3c4080	4	-	1	False	2026-02-15 12:37:54.000000 UTC	N/A	Disabled
4244	784	dllhost.exe	0xa005cc23f080	6	-	1	False	2026-02-15 12:37:57.000000 UTC	N/A	Disabled
5408	660	svchost.exe	0xa005cc74b080	3	-	0	False	2026-02-15 12:38:15.000000 UTC	N/A	Disabled
6664	660	svchost.exe	0xa005cc844080	8	-	0	False	2026-02-15 12:38:16.000000 UTC	N/A	Disabled
2792	784	WinStore.App.e	0xa005cc3e7080	11	-	1	False	2026-02-15 12:38:50.000000 UTC	N/A	Disabled
2088	784	RuntimeBroker.	0xa005cc23d080	1	-	1	False	2026-02-15 12:38:52.000000 UTC	N/A	Disabled
7428	784	RuntimeBroker.	0xa005cbdbd080	2	-	1	False	2026-02-15 12:38:54.000000 UTC	N/A	Disabled
1860	784	SystemSettings	0xa005cc3e5080	19	-	1	False	2026-02-15 12:39:15.000000 UTC	N/A	Disabled
4856	784	UserOOBEBroker	0xa005cc594080	1	-	1	False	2026-02-15 12:39:16.000000 UTC	N/A	Disabled
7720	784	FileCoAuth.exe	0xa005cc7240c0	3	-	1	False	2026-02-15 12:41:35.000000 UTC	N/A	Disabled
8040	3896	promecefplugin	0xa005cc7c8080	0	-	1	True	2026-02-15 12:41:44.000000 UTC	2026-02-15 12:41:53.000000 UTC	Disabled
552	3040	OneDrive.Sync.	0xa005cc811080	15	-	1	False	2026-02-15 12:41:59.000000 UTC	N/A	Disabled
5556	784	dllhost.exe	0xa005cca08080	2	-	1	False	2026-02-15 12:42:08.000000 UTC	N/A	Disabled
5468	5376	chrome.exe	0xa005cdacb0c0	0	-	1	False	2026-02-15 12:42:11.000000 UTC	2026-02-15 12:42:17.000000 UTC	Disabled
7508	5376	chrome.exe	0xa005cc6c22c0	0	-	1	False	2026-02-15 12:42:13.000000 UTC	2026-02-15 12:42:17.000000 UTC	Disabled
6960	784	SearchApp.exe	0xa005cb38c080	14	-	1	False	2026-02-15 12:43:53.000000 UTC	N/A	Disabled
