"FullName","Length","CreationTime","LastWriteTime"
"C:\Users\Windows10\Documents\test.docx.locked","17740","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\Personal\Cover_Letter.docx.locked","652","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\Personal\Household_Budget.xlsx.locked","292","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Personal\Resume_2024.docx.locked","652","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\Personal\Shopping_List.txt.locked","356","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Personal\Todo.txt.locked","356","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Personal\Insurance\Car_Insurance_2024.pdf.locked","3148","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Personal\Insurance\Health_Insurance_Policy.pdf.locked","3172","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Personal\Medical_Records\Lab_Results_2024.pdf.locked","3148","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Personal\Tax_Returns\Income_Summary_2023.xlsx.locked","292","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Personal\Tax_Returns\Tax_Return_2023.pdf.locked","3148","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_1.pdf.locked","2764","2/15/2026 2:50:58 PM","2/15/2026 2:50:58 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_10.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_2.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_3.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_4.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_5.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_6.pdf.locked","2764","2/15/2026 2:50:59 PM","2/15/2026 2:50:59 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_7.pdf.locked","2764","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_8.pdf.locked","2764","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\TestDocs\Document_9.pdf.locked","2764","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\Work_Projects\Project_Ideas.txt.locked","356","2/15/2026 2:51:04 PM","2/15/2026 2:51:04 PM"
"C:\Users\Windows10\Documents\Work_Projects\HR_Documents\Employee_Handbook.pdf.locked","3172","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\Work_Projects\HR_Documents\Interview_Questions.docx.locked","652","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\Work_Projects\HR_Documents\Salary_Structure.pdf.locked","3148","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\Work_Projects\Marketing_Campaign\Campaign_Metrics.xlsx.locked","292","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Work_Projects\Marketing_Campaign\Campaign_Strategy.pdf.locked","3148","2/15/2026 2:51:00 PM","2/15/2026 2:51:00 PM"
"C:\Users\Windows10\Documents\Work_Projects\Marketing_Campaign\Content_Plan.docx.locked","652","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
"C:\Users\Windows10\Documents\Work_Projects\Marketing_Campaign\Market_Research.pdf.locked","3148","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Work_Projects\Q1_2024_Budget\Budget_Analysis.pdf.locked","3172","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Work_Projects\Q1_2024_Budget\Expense_Report.pdf.locked","3148","2/15/2026 2:51:01 PM","2/15/2026 2:51:01 PM"
"C:\Users\Windows10\Documents\Work_Projects\Q1_2024_Budget\Financial_Model.xlsx.locked","292","2/15/2026 2:51:03 PM","2/15/2026 2:51:03 PM"
"C:\Users\Windows10\Documents\Work_Projects\Q1_2024_Budget\Meeting_Notes.docx.locked","652","2/15/2026 2:51:02 PM","2/15/2026 2:51:02 PM"
