"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","110","2203381170176","65536","1757184","6520","C:\Windows\System32\AggregatorHost.exe",,"0.28125",,,,,"Process","8",,"False",,"2184","Microsoft.Win32.SafeHandles.SafeProcessHandle","110","4920",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6520","6520","1757184","1757184","60680","60680","1757184","1757184","12222464","12222464","69533696","2203387756544","True","Normal","1757184","1757184","00:00:00.1406250","AggregatorHost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2812500","00:00:00.1406250","62947328","2203381170176","False",,,,"65536","65536",,
"ApplicationFrameHost","1","423","2203580997632","1421312","12505088","26104","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.125","10.0.19041.5794 (WinBuild.160101.0800)","10.0.19041.5794","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2848","Microsoft.Win32.SafeHandles.SafeProcessHandle","423","3076",".","197512","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26104","26104","12505088","12505088","394128","394128","35135488","35135488","56963072","56963072","277901312","2203596124160","True","Normal","12505088","12505088","00:00:00.6250000","ApplicationFrameHost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1250000","00:00:00.5000000","262774784","2203580997632","False",,,,"1421312","1421312",,
"audiodg","0","180","2203404832768","1396736","6635520","11416","C:\Windows\system32\AUDIODG.EXE","Microsoft Corporation","3.453125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"2912","Microsoft.Win32.SafeHandles.SafeProcessHandle","180","7916",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","11042816","9834496","System.Diagnostics.ProcessModuleCollection","11416","11416","6635520","6635520","94944","94944","7856128","7856128","13611008","13611008","87486464","2203405709312","True","Normal","6635520","6635520","00:00:03.3437500","audiodg","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:48:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.4531250","00:00:00.1093750","86609920","2203404832768","False",,,,"1396736","1396736",,
"chrome","1","190","2306585251840","0","7000064","10736","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.046875","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","8",,"False",,"2940","Microsoft.Win32.SafeHandles.SafeProcessHandle","190","4448",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10736","10736","7000064","7000064","173096","173096","7069696","7069696","9666560","9666560","204591104","2306602029056","True","Normal","7000064","7000064","00:00:00.0156250","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0312500","187813888","2306585251840","False",,,,"0","0",,
"chrome","1","1365","2410490429440","19062784","63238144","58624","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","5.890625","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","8",,"False",,"2344","Microsoft.Win32.SafeHandles.SafeProcessHandle","1365","5060",".","328902","Facebok - log in or sign up - Google Chrome","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","58624","58624","63238144","63238144","1211184","1211184","70144000","70144000","181858304","181858304","1071792128","2410548445184","True","Normal","63238144","63238144","00:00:03.0781250","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:30 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:05.8906250","00:00:02.8125000","1013776384","2410490429440","False",,,,"19062784","19062784",,
"chrome","1","368","2358499549184","9322496","17936384","22320","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.90625","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","8",,"False",,"2820","Microsoft.Win32.SafeHandles.SafeProcessHandle","368","5676",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22320","22320","17936384","17936384","773056","773056","18903040","18903040","38273024","38273024","616960000","2358554005504","True","Normal","17936384","17936384","00:00:00.4531250","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9062500","00:00:00.4531250","562503680","2358499549184","False",,,,"9322496","9322496",,
"chrome","1","308","3814065614848","5996544","31858688","26864","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","1.875","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","8",,"False",,"2044","Microsoft.Win32.SafeHandles.SafeProcessHandle","308","7600",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26864","26864","31858688","31858688","743808","743808","32645120","32645120","76390400","76390400","449634304","3814380593152","True","Normal","31858688","31858688","00:00:00.7343750","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.8750000","00:00:01.1406250","134656000","3814065614848","False",,,,"5996544","5996544",,
"chrome","1","336","2358535020544","5537792","19292160","26776","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","2.484375","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","10",,"False",,"2756","Microsoft.Win32.SafeHandles.SafeProcessHandle","336","7784",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26776","26776","19292160","19292160","889888","889888","32186368","32186368","58310656","58310656","615538688","2358552584192","True","AboveNormal","19292160","19292160","00:00:01.9218750","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.4843750","00:00:00.5625000","597975040","2358535020544","False",,,,"5537792","5537792",,
"chrome","1","214","2358406209536","1699840","9170944","13864","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.125","144.0.7559.134","144.0.7559.134","Google Chrome","Google Chrome","Process","8",,"False",,"1040","Microsoft.Win32.SafeHandles.SafeProcessHandle","214","7824",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13864","13864","9170944","9170944","697464","697464","10211328","10211328","19574784","19574784","469164032","2358406209536","True","Normal","9170944","9170944","00:00:00.0781250","chrome","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:31 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0468750","469164032","2358406209536","False",,,,"1699840","1699840",,
"conhost","1","273","2203490906112","499712","7245824","14536","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.328125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2992","Microsoft.Win32.SafeHandles.SafeProcessHandle","273","1496",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14536","14536","7245824","7245824","247288","247288","7364608","7364608","18657280","18657280","180453376","2203498676224","True","Normal","7245824","7245824","00:00:00.2812500","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:49:55 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.0468750","172683264","2203490906112","False",,,,"499712","499712",,
