"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AggregatorHost","0","106","2203379597312","884736","1515520","6112","C:\Windows\System32\AggregatorHost.exe",,"0.265625",,,,,"Process","8",,"False",,"2664","Microsoft.Win32.SafeHandles.SafeProcessHandle","106","4920",".","0","","System.Diagnostics.ProcessModule (AggregatorHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","6112","6112","1515520","1515520","60680","60680","1712128","1712128","12222464","12222464","69533696","2203387756544","True","Normal","1515520","1515520","00:00:00.1250000","AggregatorHost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:27 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.1406250","61374464","2203379597312","False",,,,"884736","884736",,
"ApplicationFrameHost","1","434","2203581521920","1216512","12476416","26240","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","1.0625","10.0.19041.5794 (WinBuild.160101.0800)","10.0.19041.5794","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2088","Microsoft.Win32.SafeHandles.SafeProcessHandle","434","3076",".","197512","Settings","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26240","26240","12476416","12476416","395664","395664","35135488","35135488","56963072","56963072","277901312","2203596124160","True","Normal","12476416","12476416","00:00:00.5625000","ApplicationFrameHost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0625000","00:00:00.5000000","263299072","2203581521920","False",,,,"1216512","1216512",,
"audiodg","0","179","2203404308480","581632","6529024","11280","C:\Windows\system32\AUDIODG.EXE","Microsoft Corporation","4.953125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft? Windows? Operating System","Process","8",,"False",,"2708","Microsoft.Win32.SafeHandles.SafeProcessHandle","179","5884",".","0","","System.Diagnostics.ProcessModule (AUDIODG.EXE)","11182080","9973760","System.Diagnostics.ProcessModuleCollection","11280","11280","6529024","6529024","95104","95104","8245248","8245248","13672448","13672448","89595904","2203407818752","True","Normal","6529024","6529024","00:00:04.7187500","audiodg","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:38:26 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9531250","00:00:00.2343750","86085632","2203404308480","False",,,,"581632","581632",,
"conhost","1","273","2203487236096","4149248","4448256","14536","C:\Windows\system32\conhost.exe","Microsoft Corporation","0.5625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Console Window Host","Microsoft? Windows? Operating System","Process","8",,"False",,"2600","Microsoft.Win32.SafeHandles.SafeProcessHandle","273","7880",".","0","","System.Diagnostics.ProcessModule (conhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14536","14536","4448256","4448256","247288","247288","4472832","4472832","16891904","16891904","176259072","2203494481920","True","Normal","4448256","4448256","00:00:00.5000000","conhost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:42:35 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5625000","00:00:00.0625000","169013248","2203487236096","False",,,,"4149248","4149248",,
"csrss","0","411","2203410370560","180224","1867776","15288",,,"1.109375",,,,,"Process","13",,,,,,"411","440",".","0","",,,,,"15288","15288","1867776","1867776","175000","175000","2174976","2174976","5496832","5496832","92995584","2203411218432",,,"1867776","1867776","00:00:00.8906250","csrss",,"True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1093750","00:00:00.2187500","92147712","2203410370560","False",,,,"180224","180224",,
"csrss","1","525","2203429502976","385024","2064384","22936",,,"2.328125",,,,,"Process","13",,,,,,"525","524",".","0","",,,,,"22936","22936","2064384","2064384","215912","215912","8220672","8220672","17690624","17690624","116277248","2203434500096",,,"2064384","2064384","00:00:02","csrss",,"True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:35:51 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.3281250","00:00:00.3281250","111280128","2203429502976","False",,,,"385024","385024",,
"ctfmon","1","455","2203468705792","6332416","4194304","17040","C:\Windows\system32\ctfmon.exe","Microsoft Corporation","1.375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","CTF Loader","Microsoft? Windows? Operating System","Process","13",,"False",,"3088","Microsoft.Win32.SafeHandles.SafeProcessHandle","455","6788",".","0","","System.Diagnostics.ProcessModule (ctfmon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17040","17040","4194304","4194304","217120","217120","4218880","4218880","14864384","14864384","153919488","2203472142336","True","High","4194304","4194304","00:00:00.9687500","ctfmon","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:53 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3750000","00:00:00.4062500","150482944","2203468705792","False",,,,"6332416","6332416",,
"dllhost","0","287","2203416780800","1581056","4239360","15040","C:\Windows\system32\dllhost.exe","Microsoft Corporation","0.703125","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3120","Microsoft.Win32.SafeHandles.SafeProcessHandle","287","3328",".","0","","System.Diagnostics.ProcessModule (dllhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15040","15040","4239360","4239360","107744","107744","4419584","4419584","14749696","14749696","103800832","2203422023680","True","Normal","4239360","4239360","00:00:00.3437500","dllhost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:10 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.3593750","98557952","2203416780800","False",,,,"1581056","1581056",,
"dllhost","0","218","2203435069440","1478656","3330048","17264","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.1875","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3152","Microsoft.Win32.SafeHandles.SafeProcessHandle","218","3732",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17264","17264","3330048","3330048","114304","114304","3604480","3604480","11575296","11575296","121077760","2203439300608","True","Normal","3330048","3330048","00:00:00.0937500","dllhost","3","True","0","System.Diagnostics.ProcessStartInfo","2/15/2026 2:36:13 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.0937500","116846592","2203435069440","False",,,,"1478656","1478656",,
"dllhost","1","260","2203462471680","2048000","5312512","24608","C:\Windows\system32\DllHost.exe","Microsoft Corporation","0.203125","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"3184","Microsoft.Win32.SafeHandles.SafeProcessHandle","260","4244",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24608","24608","5312512","5312512","159840","159840","6070272","6070272","14331904","14331904","148049920","2203466272768","True","Normal","5312512","5312512","00:00:00.1562500","dllhost","3","True","1","System.Diagnostics.ProcessStartInfo","2/15/2026 2:37:57 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00.0468750","144248832","2203462471680","False",,,,"2048000","2048000",,
